Name,Team,Position,Tier,Expert Rank
Michael Penix,ATL,QB,L,241.38
Mack Hollins,NE,WR,L,242.00
Konata Mumpfield,LAR,WR,L,243.00
LeQuint Allen,JAX,RB,L,243.00
Jake Tonges,SF,TE,L,243.67
Olamide Zaccheaus,ATL,WR,L,244.00
Trevor Etienne,CAR,RB,L,245.00
Tyreek Hill,,WR,L,245.50
Keenan Allen,,WR,M,245.60
Carson Beck,ARI,QB,M,246.57
Jaylin Lane,WAS,WR,M,247.00
Darnell Washington,PIT,TE,M,247.29
Kirk Cousins,LV,QB,M,247.63
Theo Johnson,NYG,TE,M,250.33
Mason Taylor,NYJ,TE,M,252.33
Joshua Palmer,BUF,WR,M,252.67
Anthony Richardson,IND,QB,M,254.00
Michael Mayer,LV,TE,M,258.67
Dont'e Thornton Jr.,LV,WR,M,259.00
J.J. McCarthy,MIN,QB,M,259.75
Mac Jones,SF,QB,M,260.25
Justin Fields,KC,QB,M,262.67
Ty Simpson,LAR,QB,M,267.33
Malik Davis,DAL,RB,M,268.25
Elijah Arroyo,SEA,TE,M,268.67
Dawson Knox,BUF,TE,N,270.67
Isaiah Bond,CLE,WR,N,271.00
Cole Kmet,CHI,TE,N,271.33
Oscar Delp,NO,TE,N,272.00
Ja'Tavion Sanders,CAR,TE,N,276.67
Darren Waller,CAR,TE,N,278.00
Jalen Tolbert,MIA,WR,N,278.67
Marvin Mims,DEN,WR,N,281.00
Treylon Burks,WAS,WR,N,282.67
Kendrick Bourne,ARI,WR,N,282.67
Noah Gray,KC,TE,N,285.00
Zavion Thomas,CHI,WR,N,285.75
Emari Demercado,KC,RB,N,287.00
Justin Joly,DEN,TE,N,288.67
Kyle Williams,NE,WR,N,289.00
Brenen Thompson,LAC,WR,N,289.67
Jahan Dotson,ATL,WR,N,291.67
Jerome Ford,WAS,RB,N,292.00
Tahj Brooks,CIN,RB,N,293.00
Drew Allar,PIT,QB,N,293.75
Jarquez Hunter,LAR,RB,N,295.00
Noah Fant,NO,TE,N,295.00
Jaleel McLaughlin,DEN,RB,O,296.00
Cade Klubnik,NYJ,QB,O,296.50
Tutu Atwell,MIA,WR,O,296.67
Audric Estime,NO,RB,O,297.00
Luke Musgrave,GB,TE,O,298.67
Will Shipley,PHI,RB,O,299.00
Kareem Hunt,,RB,O,301.00
Jameis Winston,NYG,QB,O,304.33
Tyler Higbee,LAR,TE,O,305.00
Jordan Whittington,LAR,WR,O,305.33
Marcus Mariota,WAS,QB,O,306.33
DeMario Douglas,NE,WR,O,307.00
Luke Schoonmaker,DAL,TE,O,311.67
Eli Heidenreich,PIT,RB,O,312.00
Jawhar Jordan,HOU,RB,O,317.00
Savion Williams,GB,WR,O,318.00
Xavier Hutchinson,HOU,WR,O,321.00
Kevin Coleman Jr.,MIA,WR,O,322.00
KaVontae Turpin,DAL,WR,O,324.00
Kalif Raymond,CHI,WR,O,325.00
Joe Flacco,CIN,QB,O,326.00
Nick Westbrook-Ikhine,IND,WR,O,327.00
Ashton Dulin,IND,WR,O,328.00
Devontez Walker,BAL,WR,O,332.00
Dameon Pierce,PHI,RB,O,333.00
Roman Wilson,PIT,WR,O,338.00
Dyami Brown,WAS,WR,O,339.00
Greg Dortch,DET,WR,O,340.00
Demarcus Robinson,SF,WR,O,341.00
Theo Wease Jr.,MIA,WR,O,342.00
Riley Leonard,IND,QB,O,343.00
Mo Alie-Cox,IND,TE,O,344.00
Gardner Minshew,ARI,QB,O,345.00
DeAndre Hopkins,,WR,O,346.00
Taysom Hill,,TE,O,347.00
Tyrod Taylor,GB,QB,O,348.00
JuJu Smith-Schuster,NYG,WR,O,349.00
Zonovan Knight,ARI,RB,O,350.00
Raheim Sanders,CLE,RB,O,351.00
